locus_tag	ftype	length_bp	gene	EC_number	COG	product
NNNHPBPM_00001	CDS	2463	thrA		COG0460	Bifunctional aspartokinase/homoserine dehydrogenase 1
NNNHPBPM_00002	CDS	933	thrB	2.7.1.39	COG0083	Homoserine kinase
NNNHPBPM_00003	CDS	1287	thrC	4.2.3.1	COG0498	Threonine synthase
NNNHPBPM_00004	CDS	297				hypothetical protein
NNNHPBPM_00005	CDS	777	yaaA		COG3022	Peroxide stress resistance protein YaaA
NNNHPBPM_00006	CDS	1431	alsT		COG1115	Amino-acid carrier protein AlsT
NNNHPBPM_00007	CDS	954	talB	2.2.1.2	COG0176	Transaldolase B
NNNHPBPM_00008	CDS	588	mog	2.7.7.75	COG0521	Molybdopterin adenylyltransferase
NNNHPBPM_00009	CDS	567	satP		COG1584	Succinate-acetate/proton symporter SatP
NNNHPBPM_00010	CDS	714				hypothetical protein
NNNHPBPM_00011	CDS	405				hypothetical protein
NNNHPBPM_00012	CDS	1917	dnaK_1		COG0443	Chaperone protein DnaK
NNNHPBPM_00013	CDS	1131	dnaJ		COG0484	Chaperone protein DnaJ
NNNHPBPM_00014	CDS	210				hypothetical protein
NNNHPBPM_00015	CDS	762				hypothetical protein
NNNHPBPM_00016	CDS	1494		3.1.6.-	COG3119	N-acetylgalactosamine-6-O-sulfatase
NNNHPBPM_00017	CDS	1260				hypothetical protein
NNNHPBPM_00018	CDS	1167	nhaA		COG3004	Na(+)/H(+) antiporter NhaA
NNNHPBPM_00019	CDS	900	nhaR		COG0583	Transcriptional activator protein NhaR
NNNHPBPM_00020	CDS	264	rpsT		COG0268	30S ribosomal protein S20
NNNHPBPM_00021	CDS	942	ribF		COG0196	Bifunctional riboflavin kinase/FMN adenylyltransferase
NNNHPBPM_00022	CDS	2817	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
NNNHPBPM_00023	CDS	495	lspA	3.4.23.36	COG0597	Lipoprotein signal peptidase
NNNHPBPM_00024	CDS	450	fkpB	5.2.1.8	COG1047	FKBP-type 16 kDa peptidyl-prolyl cis-trans isomerase
NNNHPBPM_00025	CDS	951	ispH	1.17.7.4	COG0761	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
NNNHPBPM_00026	CDS	915	rihC	3.2.-.-	COG1957	Non-specific ribonucleoside hydrolase RihC
NNNHPBPM_00027	CDS	366				hypothetical protein
NNNHPBPM_00028	CDS	822	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
NNNHPBPM_00029	CDS	1149	carA_1	6.3.5.5	COG0505	Carbamoyl-phosphate synthase small chain
NNNHPBPM_00030	CDS	3222	carB	6.3.5.5	COG0458	Carbamoyl-phosphate synthase large chain
NNNHPBPM_00031	CDS	459				IS200/IS605 family transposase IS200C
NNNHPBPM_00032	CDS	396				hypothetical protein
NNNHPBPM_00033	CDS	591	yrdA_1		COG0663	Protein YrdA
NNNHPBPM_00034	CDS	786	caiD	4.2.1.149	COG1024	Carnitinyl-CoA dehydratase
NNNHPBPM_00035	CDS	1554	caiC	6.2.1.48	COG0318	Crotonobetaine/carnitine--CoA ligase
NNNHPBPM_00036	CDS	1218	caiB	2.8.3.21	COG1804	L-carnitine CoA-transferase
NNNHPBPM_00037	CDS	1143	caiA_1	1.3.8.13	COG1960	Crotonobetainyl-CoA reductase
NNNHPBPM_00038	CDS	1515	caiT_1		COG1292	L-carnitine/gamma-butyrobetaine antiporter
NNNHPBPM_00039	CDS	771	fixA_1		COG2086	Protein FixA
NNNHPBPM_00040	CDS	942	fixB_1		COG2025	Protein FixB
NNNHPBPM_00041	CDS	1287	thi4	2.4.2.59		Thiamine thiazole synthase
NNNHPBPM_00042	CDS	288	fixX_1		COG2440	Ferredoxin-like protein FixX
NNNHPBPM_00043	CDS	1332	ygcS_1			Inner membrane metabolite transport protein YgcS
NNNHPBPM_00044	CDS	531	kefF	1.6.5.2	COG2249	Glutathione-regulated potassium-efflux system ancillary protein KefF
NNNHPBPM_00045	CDS	1863	kefC_1		COG0475	Glutathione-regulated potassium-efflux system protein KefC
NNNHPBPM_00046	CDS	591	folA	1.5.1.3	COG0262	Dihydrofolate reductase
