locus_tag	ftype	length_bp	gene	EC_number	COG	product
GPEBMMHM_00001	CDS	2505				hypothetical protein
GPEBMMHM_00002	CDS	600	ompX_1		COG3637	Outer membrane protein X
GPEBMMHM_00003	CDS	1314				hypothetical protein
GPEBMMHM_00004	CDS	270				hypothetical protein
GPEBMMHM_00005	CDS	168				hypothetical protein
GPEBMMHM_00006	CDS	3387				hypothetical protein
GPEBMMHM_00007	CDS	396				hypothetical protein
GPEBMMHM_00008	CDS	111				hypothetical protein
GPEBMMHM_00009	CDS	111				hypothetical protein
GPEBMMHM_00010	CDS	567	yecD	3.-.-.-	COG1335	Isochorismatase family protein YecD
GPEBMMHM_00011	CDS	1773	aspS	6.1.1.12	COG0173	Aspartate--tRNA ligase
GPEBMMHM_00012	CDS	510	nudB	3.6.1.67	COG0494	Dihydroneopterin triphosphate diphosphatase
GPEBMMHM_00013	CDS	741	yebC		COG0217	putative transcriptional regulatory protein YebC
GPEBMMHM_00014	CDS	522	ruvC	3.1.22.4	COG0817	Crossover junction endodeoxyribonuclease RuvC
GPEBMMHM_00015	CDS	603				hypothetical protein
GPEBMMHM_00016	CDS	612	ruvA	3.6.4.12	COG0632	Holliday junction ATP-dependent DNA helicase RuvA
GPEBMMHM_00017	CDS	1011	ruvB	3.6.4.12	COG2255	Holliday junction ATP-dependent DNA helicase RuvB
GPEBMMHM_00018	CDS	786	znuB		COG1108	High-affinity zinc uptake system membrane protein ZnuB
GPEBMMHM_00019	CDS	756	znuC	7.2.2.-	COG1121	Zinc import ATP-binding protein ZnuC
GPEBMMHM_00020	CDS	987	znuA		COG4531	High-affinity zinc uptake system protein ZnuA
GPEBMMHM_00021	CDS	1323	mepM	3.4.24.-	COG0739	Murein DD-endopeptidase MepM
GPEBMMHM_00022	CDS	972	lpxM	2.3.1.243	COG1560	Lipid A biosynthesis myristoyltransferase
GPEBMMHM_00023	CDS	1443	pykA	2.7.1.40	COG0469	Pyruvate kinase II
GPEBMMHM_00024	CDS	870	hexR		COG1737	HTH-type transcriptional regulator HexR
GPEBMMHM_00025	CDS	150				hypothetical protein
GPEBMMHM_00026	CDS	1476	zwf	1.1.1.49	COG0364	Glucose-6-phosphate 1-dehydrogenase
GPEBMMHM_00027	CDS	1812	edd	4.2.1.12	COG0129	Phosphogluconate dehydratase
GPEBMMHM_00028	CDS	642	eda		COG0800	KHG/KDPG aldolase
GPEBMMHM_00029	CDS	1179	purT	2.1.2.-	COG0027	Formate-dependent phosphoribosylglycinamide formyltransferase
GPEBMMHM_00030	CDS	291				hypothetical protein
GPEBMMHM_00031	CDS	357	yebF			Protein YebF
GPEBMMHM_00032	CDS	207				hypothetical protein
GPEBMMHM_00033	CDS	111				hypothetical protein
GPEBMMHM_00034	CDS	660	yebE		COG2979	Inner membrane protein YebE
GPEBMMHM_00035	CDS	2061	ptrB	3.4.21.83	COG1770	Protease 2
GPEBMMHM_00036	CDS	663	exoX	3.1.11.-	COG0847	Exodeoxyribonuclease 10
GPEBMMHM_00037	CDS	657				hypothetical protein
GPEBMMHM_00038	CDS	231	holE	2.7.7.7		DNA polymerase III subunit theta
