locus_tag	ftype	length_bp	gene	EC_number	COG	product
KENOBHBL_00001	CDS	2463	thrA		COG0460	Bifunctional aspartokinase/homoserine dehydrogenase 1
KENOBHBL_00002	CDS	933	thrB	2.7.1.39	COG0083	Homoserine kinase
KENOBHBL_00003	CDS	1287	thrC	4.2.3.1	COG0498	Threonine synthase
KENOBHBL_00004	CDS	297				hypothetical protein
KENOBHBL_00005	CDS	777	yaaA		COG3022	Peroxide stress resistance protein YaaA
KENOBHBL_00006	CDS	1431	alsT		COG1115	Amino-acid carrier protein AlsT
KENOBHBL_00007	CDS	954	talB	2.2.1.2	COG0176	Transaldolase B
KENOBHBL_00008	CDS	588	mog	2.7.7.75	COG0521	Molybdopterin adenylyltransferase
KENOBHBL_00009	CDS	567	satP		COG1584	Succinate-acetate/proton symporter SatP
KENOBHBL_00010	CDS	714				hypothetical protein
KENOBHBL_00011	CDS	405				hypothetical protein
KENOBHBL_00012	CDS	1917	dnaK_1		COG0443	Chaperone protein DnaK
KENOBHBL_00013	CDS	1131	dnaJ		COG0484	Chaperone protein DnaJ
KENOBHBL_00014	CDS	153	hokC			Toxic protein HokC
KENOBHBL_00015	CDS	762				hypothetical protein
KENOBHBL_00016	CDS	1494		3.1.6.-	COG3119	N-acetylgalactosamine-6-O-sulfatase
KENOBHBL_00017	CDS	1260				hypothetical protein
KENOBHBL_00018	CDS	1167	nhaA		COG3004	Na(+)/H(+) antiporter NhaA
KENOBHBL_00019	CDS	900	nhaR		COG0583	Transcriptional activator protein NhaR
KENOBHBL_00020	CDS	264	rpsT		COG0268	30S ribosomal protein S20
KENOBHBL_00021	CDS	942	ribF		COG0196	Bifunctional riboflavin kinase/FMN adenylyltransferase
KENOBHBL_00022	CDS	2817	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
KENOBHBL_00023	CDS	495	lspA	3.4.23.36	COG0597	Lipoprotein signal peptidase
KENOBHBL_00024	CDS	450	fkpB	5.2.1.8	COG1047	FKBP-type 16 kDa peptidyl-prolyl cis-trans isomerase
KENOBHBL_00025	CDS	966	ispH	1.17.7.4	COG0761	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
KENOBHBL_00026	CDS	915	rihC	3.2.-.-	COG1957	Non-specific ribonucleoside hydrolase RihC
KENOBHBL_00027	CDS	822	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
KENOBHBL_00028	CDS	1149	carA	6.3.5.5	COG0505	Carbamoyl-phosphate synthase small chain
KENOBHBL_00029	CDS	3219	carB	6.3.5.5	COG0458	Carbamoyl-phosphate synthase large chain
KENOBHBL_00030	CDS	396				hypothetical protein
KENOBHBL_00031	CDS	591	yrdA_1		COG0663	Protein YrdA
KENOBHBL_00032	CDS	786	caiD	4.2.1.149	COG1024	Carnitinyl-CoA dehydratase
KENOBHBL_00033	CDS	1554	caiC	6.2.1.48	COG0318	Crotonobetaine/carnitine--CoA ligase
KENOBHBL_00034	CDS	1218	caiB	2.8.3.21	COG1804	L-carnitine CoA-transferase
KENOBHBL_00035	CDS	1143	caiA_1	1.3.8.13	COG1960	Crotonobetainyl-CoA reductase
KENOBHBL_00036	CDS	1515	caiT		COG1292	L-carnitine/gamma-butyrobetaine antiporter
KENOBHBL_00037	CDS	771	fixA_1		COG2086	Protein FixA
KENOBHBL_00038	CDS	942	fixB_1		COG2025	Protein FixB
KENOBHBL_00039	CDS	1287	thi4	2.4.2.59		Thiamine thiazole synthase
KENOBHBL_00040	CDS	288	fixX_1		COG2440	Ferredoxin-like protein FixX
KENOBHBL_00041	CDS	1332	ygcS_1			Inner membrane metabolite transport protein YgcS
KENOBHBL_00042	CDS	531	kefF	1.6.5.2	COG2249	Glutathione-regulated potassium-efflux system ancillary protein KefF
KENOBHBL_00043	CDS	1863	kefC_1		COG0475	Glutathione-regulated potassium-efflux system protein KefC
KENOBHBL_00044	CDS	591	folA	1.5.1.3	COG0262	Dihydrofolate reductase
KENOBHBL_00045	CDS	234				hypothetical protein
KENOBHBL_00046	CDS	315	ccdB			Toxin CcdB
KENOBHBL_00047	CDS	849	apaH	3.6.1.41	COG0639	Bis(5'-nucleosyl)-tetraphosphatase [symmetrical]
KENOBHBL_00048	CDS	378	apaG		COG2967	Protein ApaG
KENOBHBL_00049	CDS	822	rsmA	2.1.1.182	COG0030	Ribosomal RNA small subunit methyltransferase A
KENOBHBL_00050	CDS	990	pdxA	1.1.1.262	COG1995	4-hydroxythreonine-4-phosphate dehydrogenase
KENOBHBL_00051	CDS	714	surA_1	5.2.1.8	COG0760	Chaperone SurA
KENOBHBL_00052	CDS	576	surA_2	5.2.1.8	COG0760	Chaperone SurA
KENOBHBL_00053	CDS	2355	lptD		COG1452	LPS-assembly protein LptD
KENOBHBL_00054	CDS	882	djlA		COG1076	Co-chaperone protein DjlA
KENOBHBL_00055	CDS	660	rluA	5.4.99.28	COG0564	Dual-specificity RNA pseudouridine synthase RluA
KENOBHBL_00056	CDS	2907	rapA	3.6.4.-	COG0553	RNA polymerase-associated protein RapA
KENOBHBL_00057	CDS	2352	polB	2.7.7.7	COG0417	DNA polymerase II
KENOBHBL_00058	CDS	696	araD	5.1.3.4	COG0235	L-ribulose-5-phosphate 4-epimerase AraD
