locus_tag	ftype	length_bp	gene	EC_number	COG	product
BKFPFHEN_00001	CDS	858	murI	5.1.1.3	COG0796	Glutamate racemase
BKFPFHEN_00002	CDS	1845	btuB_1		COG4206	Vitamin B12 transporter BtuB
BKFPFHEN_00003	CDS	1101	trmA	2.1.1.-	COG2265	tRNA/tmRNA (uracil-C(5))-methyltransferase
BKFPFHEN_00004	CDS	360	yijD			Inner membrane protein YijD
BKFPFHEN_00005	CDS	705	fabR		COG1309	HTH-type transcriptional repressor FabR
BKFPFHEN_00006	CDS	1401	sthA	1.6.1.1	COG1249	Soluble pyridine nucleotide transhydrogenase
BKFPFHEN_00007	CDS	918	oxyR_1			Hydrogen peroxide-inducible genes activator
BKFPFHEN_00008	CDS	1374	argH	4.3.2.1	COG0165	Argininosuccinate lyase
BKFPFHEN_00009	CDS	777	argB	2.7.2.8	COG0548	Acetylglutamate kinase
BKFPFHEN_00010	CDS	1005	argC	1.2.1.38	COG0002	N-acetyl-gamma-glutamyl-phosphate reductase
BKFPFHEN_00011	CDS	1152	argE_1	3.5.1.16	COG0624	Acetylornithine deacetylase
BKFPFHEN_00012	CDS	2652	ppc	4.1.1.31	COG2352	Phosphoenolpyruvate carboxylase
BKFPFHEN_00013	CDS	1734	eptC	2.7.-.-	COG2194	Phosphoethanolamine transferase EptC
BKFPFHEN_00014	CDS	852	rhaS_1			HTH-type transcriptional activator RhaS
BKFPFHEN_00015	CDS	342	frwD	2.7.1.202	COG1445	PTS system fructose-like EIIB component 3
BKFPFHEN_00016	CDS	879	cutD_1	1.97.1.-	COG1180	Choline trimethylamine-lyase activating enzyme
BKFPFHEN_00017	CDS	2298	cutC_1	4.3.99.4	COG1882	Choline trimethylamine-lyase
BKFPFHEN_00018	CDS	321	fryB_1	2.7.1.202	COG1445	PTS system fructose-like EIIB component 1
BKFPFHEN_00019	CDS	1080	manP_1		COG1299	PTS system mannose-specific EIIBCA component
BKFPFHEN_00020	CDS	2502	fryA_1		COG1080	Multiphosphoryl transfer protein 1
BKFPFHEN_00021	CDS	663	fsaB	4.1.2.-	COG0176	Fructose-6-phosphate aldolase 2
BKFPFHEN_00022	CDS	1104	gldA	1.1.1.6	COG0371	Glycerol dehydrogenase
BKFPFHEN_00023	CDS	618				hypothetical protein
BKFPFHEN_00024	CDS	906	yijE			putative cystine transporter YijE
BKFPFHEN_00025	CDS	2181	katG	1.11.1.21	COG0376	Catalase-peroxidase
BKFPFHEN_00026	CDS	891	metF	1.5.1.20	COG0685	5,10-methylenetetrahydrofolate reductase
BKFPFHEN_00027	CDS	1554	yfkN		COG0737	Trifunctional nucleotide phosphoesterase protein YfkN
BKFPFHEN_00028	CDS	1131				hypothetical protein
BKFPFHEN_00029	CDS	2433	metL		COG0460	Bifunctional aspartokinase/homoserine dehydrogenase 2
