locus_tag	ftype	length_bp	gene	EC_number	COG	product
CPMPOPCK_00001	CDS	459				IS200/IS605 family transposase IS200C
CPMPOPCK_00002	CDS	2463	thrA		COG0460	Bifunctional aspartokinase/homoserine dehydrogenase 1
CPMPOPCK_00003	CDS	933	thrB	2.7.1.39	COG0083	Homoserine kinase
CPMPOPCK_00004	CDS	1287	thrC	4.2.3.1	COG0498	Threonine synthase
CPMPOPCK_00005	CDS	297				hypothetical protein
CPMPOPCK_00006	CDS	777	yaaA		COG3022	Peroxide stress resistance protein YaaA
CPMPOPCK_00007	CDS	1431	alsT		COG1115	Amino-acid carrier protein AlsT
CPMPOPCK_00008	CDS	954	talB	2.2.1.2	COG0176	Transaldolase B
CPMPOPCK_00009	CDS	588	mog	2.7.7.75	COG0521	Molybdopterin adenylyltransferase
CPMPOPCK_00010	CDS	567	satP		COG1584	Succinate-acetate/proton symporter SatP
CPMPOPCK_00011	CDS	714				hypothetical protein
CPMPOPCK_00012	CDS	405				hypothetical protein
CPMPOPCK_00013	CDS	1917	dnaK_1		COG0443	Chaperone protein DnaK
CPMPOPCK_00014	CDS	1131	dnaJ		COG0484	Chaperone protein DnaJ
CPMPOPCK_00015	CDS	153	hokC_1			Toxic protein HokC
CPMPOPCK_00016	CDS	291				hypothetical protein
CPMPOPCK_00017	CDS	762				hypothetical protein
CPMPOPCK_00018	CDS	1494		3.1.6.-	COG3119	N-acetylgalactosamine-6-O-sulfatase
CPMPOPCK_00019	CDS	1260				hypothetical protein
CPMPOPCK_00020	CDS	1167	nhaA		COG3004	Na(+)/H(+) antiporter NhaA
CPMPOPCK_00021	CDS	900	nhaR		COG0583	Transcriptional activator protein NhaR
CPMPOPCK_00022	CDS	264	rpsT		COG0268	30S ribosomal protein S20
CPMPOPCK_00023	CDS	942	ribF		COG0196	Bifunctional riboflavin kinase/FMN adenylyltransferase
CPMPOPCK_00024	CDS	2817	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
CPMPOPCK_00025	CDS	495	lspA	3.4.23.36	COG0597	Lipoprotein signal peptidase
CPMPOPCK_00026	CDS	450	fkpB	5.2.1.8	COG1047	FKBP-type 16 kDa peptidyl-prolyl cis-trans isomerase
CPMPOPCK_00027	CDS	951	ispH	1.17.7.4	COG0761	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
CPMPOPCK_00028	CDS	192	rihC_1	3.2.-.-	COG1957	Non-specific ribonucleoside hydrolase RihC
CPMPOPCK_00029	CDS	714	rihC_2	3.2.-.-	COG1957	Non-specific ribonucleoside hydrolase RihC
CPMPOPCK_00030	CDS	366				hypothetical protein
CPMPOPCK_00031	CDS	822	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
CPMPOPCK_00032	CDS	1149	carA_1	6.3.5.5	COG0505	Carbamoyl-phosphate synthase small chain
CPMPOPCK_00033	CDS	3222	carB	6.3.5.5	COG0458	Carbamoyl-phosphate synthase large chain
CPMPOPCK_00034	CDS	396				hypothetical protein
CPMPOPCK_00035	CDS	591	yrdA_1		COG0663	Protein YrdA
CPMPOPCK_00036	CDS	786	caiD	4.2.1.149	COG1024	Carnitinyl-CoA dehydratase
CPMPOPCK_00037	CDS	1554	caiC	6.2.1.48	COG0318	Crotonobetaine/carnitine--CoA ligase
CPMPOPCK_00038	CDS	1218	caiB	2.8.3.21	COG1804	L-carnitine CoA-transferase
CPMPOPCK_00039	CDS	1143	caiA_1	1.3.8.13	COG1960	Crotonobetainyl-CoA reductase
CPMPOPCK_00040	CDS	1515	caiT		COG1292	L-carnitine/gamma-butyrobetaine antiporter
CPMPOPCK_00041	CDS	771	fixA_1		COG2086	Protein FixA
CPMPOPCK_00042	CDS	435	fixB_1		COG2025	Protein FixB
CPMPOPCK_00043	CDS	420	fixB_2		COG2025	Protein FixB
CPMPOPCK_00044	CDS	1287	thi4	2.4.2.59		Thiamine thiazole synthase
CPMPOPCK_00045	CDS	288	fixX_1		COG2440	Ferredoxin-like protein FixX
CPMPOPCK_00046	CDS	1332	ygcS_1			Inner membrane metabolite transport protein YgcS
CPMPOPCK_00047	CDS	531	kefF	1.6.5.2	COG2249	Glutathione-regulated potassium-efflux system ancillary protein KefF
CPMPOPCK_00048	CDS	1863	kefC_1		COG0475	Glutathione-regulated potassium-efflux system protein KefC
CPMPOPCK_00049	CDS	591	folA	1.5.1.3	COG0262	Dihydrofolate reductase
CPMPOPCK_00050	CDS	234				hypothetical protein
CPMPOPCK_00051	CDS	315	ccdB			Toxin CcdB
CPMPOPCK_00052	CDS	849	apaH	3.6.1.41	COG0639	Bis(5'-nucleosyl)-tetraphosphatase [symmetrical]
CPMPOPCK_00053	CDS	378	apaG		COG2967	Protein ApaG
CPMPOPCK_00054	CDS	822	rsmA	2.1.1.182	COG0030	Ribosomal RNA small subunit methyltransferase A
CPMPOPCK_00055	CDS	990	pdxA	1.1.1.262	COG1995	4-hydroxythreonine-4-phosphate dehydrogenase
CPMPOPCK_00056	CDS	1287	surA	5.2.1.8	COG0760	Chaperone SurA
CPMPOPCK_00057	CDS	2355	lptD		COG1452	LPS-assembly protein LptD
CPMPOPCK_00058	CDS	882	djlA		COG1076	Co-chaperone protein DjlA
CPMPOPCK_00059	CDS	660	rluA	5.4.99.28	COG0564	Dual-specificity RNA pseudouridine synthase RluA
CPMPOPCK_00060	CDS	2907	rapA_1	3.6.4.-	COG0553	RNA polymerase-associated protein RapA
CPMPOPCK_00061	CDS	2352	polB	2.7.7.7	COG0417	DNA polymerase II
CPMPOPCK_00062	CDS	459				IS200/IS605 family transposase IS200C
CPMPOPCK_00063	CDS	696	araD	5.1.3.4	COG0235	L-ribulose-5-phosphate 4-epimerase AraD
CPMPOPCK_00064	CDS	1503	araA	5.3.1.4	COG2160	L-arabinose isomerase
CPMPOPCK_00065	CDS	1701	araB	2.7.1.16	COG1069	Ribulokinase
CPMPOPCK_00066	CDS	846	araC			Arabinose operon regulatory protein
CPMPOPCK_00067	CDS	234				hypothetical protein
CPMPOPCK_00068	CDS	573				hypothetical protein
CPMPOPCK_00069	CDS	423				hypothetical protein
CPMPOPCK_00070	CDS	765	yabI		COG0586	Inner membrane protein YabI
CPMPOPCK_00071	CDS	699	thiQ	3.6.3.-	COG3840	Thiamine import ATP-binding protein ThiQ
CPMPOPCK_00072	CDS	1611				hypothetical protein
CPMPOPCK_00073	CDS	984	thiB		COG4143	Thiamine-binding periplasmic protein
CPMPOPCK_00074	CDS	1656	sgrR_1		COG4533	HTH-type transcriptional regulator SgrR
CPMPOPCK_00075	CDS	132	sgrT			Putative inhibitor of glucose uptake transporter SgrT
CPMPOPCK_00076	CDS	459				IS200/IS605 family transposase IS200C
CPMPOPCK_00077	CDS	606	leuD	4.2.1.33	COG0066	3-isopropylmalate dehydratase small subunit
CPMPOPCK_00078	CDS	1401	leuC_1	4.2.1.33	COG0065	3-isopropylmalate dehydratase large subunit
CPMPOPCK_00079	CDS	1092	leuB	1.1.1.85	COG0473	3-isopropylmalate dehydrogenase
CPMPOPCK_00080	CDS	1572	leuA	2.3.3.13	COG0119	2-isopropylmalate synthase
CPMPOPCK_00081	CDS	945	leuO			HTH-type transcriptional regulator LeuO
CPMPOPCK_00082	CDS	1725	ilvI	2.2.1.6	COG0028	Acetolactate synthase isozyme 3 large subunit
CPMPOPCK_00083	CDS	492	ilvH	2.2.1.6	COG0440	Acetolactate synthase isozyme 3 small subunit
CPMPOPCK_00084	CDS	1005	cra		COG1609	Catabolite repressor/activator
CPMPOPCK_00085	CDS	459	mraZ		COG2001	Transcriptional regulator MraZ
CPMPOPCK_00086	CDS	942	rsmH	2.1.1.199	COG0275	Ribosomal RNA small subunit methyltransferase H
CPMPOPCK_00087	CDS	366	ftsL		COG3116	Cell division protein FtsL
CPMPOPCK_00088	CDS	1767	ftsI	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase FtsI
CPMPOPCK_00089	CDS	1488	murE	6.3.2.13	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
CPMPOPCK_00090	CDS	1359	murF	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
CPMPOPCK_00091	CDS	1083	mraY	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
CPMPOPCK_00092	CDS	1317	murD	6.3.2.9	COG0771	UDP-N-acetylmuramoylalanine--D-glutamate ligase
CPMPOPCK_00093	CDS	1245	ftsW	2.4.1.129	COG0772	putative peptidoglycan glycosyltransferase FtsW
CPMPOPCK_00094	CDS	1068	murG	2.4.1.227	COG0707	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
CPMPOPCK_00095	CDS	1476	murC	6.3.2.8	COG0773	UDP-N-acetylmuramate--L-alanine ligase
CPMPOPCK_00096	CDS	921	ddlB	6.3.2.4	COG1181	D-alanine--D-alanine ligase B
CPMPOPCK_00097	CDS	831	ftsQ		COG1589	Cell division protein FtsQ
CPMPOPCK_00098	CDS	1263	ftsA_1		COG0849	Cell division protein FtsA
CPMPOPCK_00099	CDS	1152	ftsZ		COG0206	Cell division protein FtsZ
CPMPOPCK_00100	CDS	918	lpxC	3.5.1.108	COG0774	UDP-3-O-acyl-N-acetylglucosamine deacetylase
CPMPOPCK_00101	CDS	588	secM			Secretion monitor
CPMPOPCK_00102	CDS	2706	secA		COG0653	Protein translocase subunit SecA
CPMPOPCK_00103	CDS	399	mutT	3.6.1.55	COG0494	8-oxo-dGTP diphosphatase
CPMPOPCK_00104	CDS	522				IS3 family transposase IS1397
CPMPOPCK_00105	CDS	603				IS3 family transposase IS1397
CPMPOPCK_00106	CDS	198	yacG		COG3024	DNA gyrase inhibitor YacG
CPMPOPCK_00107	CDS	744	zapD		COG4582	Cell division protein ZapD
CPMPOPCK_00108	CDS	621	coaE	2.7.1.24	COG0237	Dephospho-CoA kinase
CPMPOPCK_00109	CDS	1044	guaC	1.7.1.7	COG0516	GMP reductase
CPMPOPCK_00110	CDS	1203	epsF		COG1459	Type II secretion system protein F
CPMPOPCK_00111	CDS	1386	epsE		COG2804	Type II secretion system protein E
CPMPOPCK_00112	CDS	441				hypothetical protein
CPMPOPCK_00113	CDS	894	nadC_1	2.4.2.19	COG0157	Nicotinate-nucleotide pyrophosphorylase [carboxylating]
CPMPOPCK_00114	CDS	552	ampD	3.5.1.28	COG3023	1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD
CPMPOPCK_00115	CDS	855	ampE		COG3725	Protein AmpE
CPMPOPCK_00116	CDS	1371	aroP		COG1113	Aromatic amino acid transport protein AroP
CPMPOPCK_00117	CDS	1782				hypothetical protein
CPMPOPCK_00118	CDS	291	imm_1			Colicin-E7 immunity protein
CPMPOPCK_00119	CDS	294	imm_2			Colicin-E7 immunity protein
CPMPOPCK_00120	CDS	291	imm_3			Colicin-E7 immunity protein
CPMPOPCK_00121	CDS	327				IS3 family transposase IS3411
CPMPOPCK_00122	CDS	888				IS3 family transposase IS629
CPMPOPCK_00123	CDS	765	pdhR_1		COG2186	Pyruvate dehydrogenase complex repressor
CPMPOPCK_00124	CDS	2664	aceE	1.2.4.1	COG2609	Pyruvate dehydrogenase E1 component
CPMPOPCK_00125	CDS	630	aceF_1	2.3.1.12	COG0508	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
CPMPOPCK_00126	CDS	1278	aceF_2	2.3.1.12	COG0508	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
CPMPOPCK_00127	CDS	1425	lpdA	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase
CPMPOPCK_00128	CDS	1782				hypothetical protein
CPMPOPCK_00129	CDS	2598	acnB	4.2.1.3	COG1049	Aconitate hydratase B
CPMPOPCK_00130	CDS	363				hypothetical protein
CPMPOPCK_00131	CDS	795	speD	4.1.1.50	COG1586	S-adenosylmethionine decarboxylase proenzyme
CPMPOPCK_00132	CDS	867	speE	2.5.1.-	COG0421	Polyamine aminopropyltransferase
CPMPOPCK_00133	CDS	309				hypothetical protein
CPMPOPCK_00134	CDS	1551	cueO		COG2132	Blue copper oxidase CueO
CPMPOPCK_00135	CDS	2391	gcd	1.1.5.2	COG4993	Quinoprotein glucose dehydrogenase
CPMPOPCK_00136	CDS	549	hpt	2.4.2.8	COG0634	Hypoxanthine phosphoribosyltransferase
CPMPOPCK_00137	CDS	663	can	4.2.1.1	COG0288	Carbonic anhydrase 2
CPMPOPCK_00138	CDS	927	yadG		COG1131	putative ABC transporter ATP-binding protein YadG
CPMPOPCK_00139	CDS	771	yadH		COG0842	Inner membrane transport permease YadH
CPMPOPCK_00140	CDS	441				hypothetical protein
CPMPOPCK_00141	CDS	1230				hypothetical protein
CPMPOPCK_00142	CDS	381	panD	4.1.1.11		Aspartate 1-decarboxylase
CPMPOPCK_00143	CDS	945				ISNCY family transposase ISRor2
CPMPOPCK_00144	CDS	198				hypothetical protein
CPMPOPCK_00145	CDS	765	panC	6.3.2.1	COG0414	Pantothenate synthetase
CPMPOPCK_00146	CDS	795	panB	2.1.2.11	COG0413	3-methyl-2-oxobutanoate hydroxymethyltransferase
CPMPOPCK_00147	CDS	1266	yadC			putative fimbrial-like protein YadC
CPMPOPCK_00148	CDS	597	yadK			putative fimbrial-like protein YadK
CPMPOPCK_00149	CDS	609	yadL			putative fimbrial-like protein YadL
CPMPOPCK_00150	CDS	567	yadM			putative fimbrial-like protein YadM
CPMPOPCK_00151	CDS	2589	htrE		COG3188	Outer membrane usher protein HtrE
CPMPOPCK_00152	CDS	741	yadV			putative fimbrial chaperone YadV
CPMPOPCK_00153	CDS	591	yadN			putative fimbrial-like protein YadN
CPMPOPCK_00154	CDS	480	folK	2.7.6.3	COG0801	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
CPMPOPCK_00155	CDS	1365	pcnB	2.7.7.19	COG0617	Poly(A) polymerase I
CPMPOPCK_00156	CDS	927	gluQ	6.1.1.-	COG0008	Glutamyl-Q tRNA(Asp) synthetase
CPMPOPCK_00157	CDS	456	dksA		COG1734	RNA polymerase-binding transcription factor DksA
CPMPOPCK_00158	CDS	705	sfsA		COG1489	Sugar fermentation stimulation protein A
CPMPOPCK_00159	CDS	531	thpR	3.1.4.58	COG1514	RNA 2',3'-cyclic phosphodiesterase
CPMPOPCK_00160	CDS	2430	hrpB	3.6.4.13	COG1643	ATP-dependent RNA helicase HrpB
CPMPOPCK_00161	CDS	2535	mrcB		COG0744	Penicillin-binding protein 1B
CPMPOPCK_00162	CDS	2259	fhuA		COG1629	Ferrichrome outer membrane transporter/phage receptor
CPMPOPCK_00163	CDS	798	fhuC	7.2.2.16	COG1120	Iron(3+)-hydroxamate import ATP-binding protein FhuC
CPMPOPCK_00164	CDS	891	fhuD		COG0614	Iron(3+)-hydroxamate-binding protein FhuD
CPMPOPCK_00165	CDS	1983	fhuB		COG0609	Iron(3+)-hydroxamate import system permease protein FhuB
CPMPOPCK_00166	CDS	1281	hemL	5.4.3.8	COG0001	Glutamate-1-semialdehyde 2,1-aminomutase
