locus_tag	ftype	length_bp	gene	EC_number	COG	product
GCKNMBJL_00001	CDS	456				hypothetical protein
GCKNMBJL_00002	CDS	1161				IS256 family transposase ISEc39
GCKNMBJL_00003	CDS	261				hypothetical protein
GCKNMBJL_00004	CDS	1194				hypothetical protein
GCKNMBJL_00005	CDS	1725	iucA	6.3.2.38		N(2)-citryl-N(6)-acetyl-N(6)-hydroxylysine synthase
GCKNMBJL_00006	CDS	948	iucB	2.3.1.102		N(6)-hydroxylysine O-acetyltransferase
GCKNMBJL_00007	CDS	1743	iucC	6.3.2.39	COG4264	Aerobactin synthase
GCKNMBJL_00008	CDS	1278	iucD	1.14.13.59	COG3486	L-lysine N6-monooxygenase
GCKNMBJL_00009	CDS	2202	iutA			Ferric aerobactin receptor
GCKNMBJL_00010	CDS	486				ISL3 family transposase ISKox3
GCKNMBJL_00011	CDS	339				ISL3 family transposase ISKox3
GCKNMBJL_00012	CDS	879	mntB_1			Manganese transport system membrane protein MntB
GCKNMBJL_00013	CDS	858	mntB_2			Manganese transport system membrane protein MntB
GCKNMBJL_00014	CDS	828	mntB_3		COG1121	Manganese transport system ATP-binding protein MntB
GCKNMBJL_00015	CDS	915			COG0803	putative periplasmic iron-binding protein
GCKNMBJL_00016	CDS	888				hypothetical protein
GCKNMBJL_00017	CDS	240				IS200/IS605 family transposase IS200C
GCKNMBJL_00018	CDS	792				IS256 family transposase ISSoEn2
GCKNMBJL_00019	CDS	222				hypothetical protein
GCKNMBJL_00020	CDS	525	sodC1	1.15.1.1	COG2032	Superoxide dismutase [Cu-Zn] 1
GCKNMBJL_00021	CDS	225				hypothetical protein
GCKNMBJL_00022	CDS	252				hypothetical protein
GCKNMBJL_00023	CDS	432				IS3 family transposase ISEc16
GCKNMBJL_00024	CDS	1242	ltrA		COG3344	Group II intron-encoded protein LtrA
GCKNMBJL_00025	CDS	468				hypothetical protein
GCKNMBJL_00026	CDS	300				IS3 family transposase ISEc16
GCKNMBJL_00027	CDS	486	ybdM_1		COG1475	putative protein YbdM
GCKNMBJL_00028	CDS	186				hypothetical protein
GCKNMBJL_00029	CDS	168				hypothetical protein
