locus_tag	ftype	length_bp	gene	EC_number	COG	product
IPNEBOMO_00001	CDS	555	yrdA_1		COG0663	Protein YrdA
IPNEBOMO_00002	CDS	258				hypothetical protein
IPNEBOMO_00003	CDS	819	aroE	1.1.1.25	COG0169	Shikimate dehydrogenase (NADP(+))
IPNEBOMO_00004	CDS	573	tsaC	2.7.7.87	COG0009	Threonylcarbamoyl-AMP synthase
IPNEBOMO_00005	CDS	543	topA_1	5.6.2.1	COG0550	DNA topoisomerase 1
IPNEBOMO_00006	CDS	474	smg			Protein Smg
IPNEBOMO_00007	CDS	1125				hypothetical protein
IPNEBOMO_00008	CDS	510	def	3.5.1.88	COG0242	Peptide deformylase
IPNEBOMO_00009	CDS	948	fmt	2.1.2.9	COG0223	Methionyl-tRNA formyltransferase
IPNEBOMO_00010	CDS	1290	rsmB	2.1.1.176	COG0144	Ribosomal RNA small subunit methyltransferase B
IPNEBOMO_00011	CDS	1377	trkA		COG0569	Trk system potassium uptake protein TrkA
IPNEBOMO_00012	CDS	411	mscL		COG1970	Large-conductance mechanosensitive channel
IPNEBOMO_00013	CDS	219	arfA		COG3036	Alternative ribosome-rescue factor A
IPNEBOMO_00014	CDS	426	zntR		COG0789	HTH-type transcriptional regulator ZntR
IPNEBOMO_00015	CDS	369				hypothetical protein
IPNEBOMO_00016	CDS	384	rplQ		COG0203	50S ribosomal protein L17
IPNEBOMO_00017	CDS	990	rpoA	2.7.7.6	COG0202	DNA-directed RNA polymerase subunit alpha
IPNEBOMO_00018	CDS	621	rpsD		COG0522	30S ribosomal protein S4
IPNEBOMO_00019	CDS	390	rpsK		COG0100	30S ribosomal protein S11
IPNEBOMO_00020	CDS	357	rpsM		COG0099	30S ribosomal protein S13
IPNEBOMO_00021	CDS	117	rpmJ		COG0257	50S ribosomal protein L36
IPNEBOMO_00022	CDS	1332	secY		COG0201	Protein translocase subunit SecY
IPNEBOMO_00023	CDS	435	rplO		COG0200	50S ribosomal protein L15
IPNEBOMO_00024	CDS	180	rpmD		COG1841	50S ribosomal protein L30
IPNEBOMO_00025	CDS	504	rpsE		COG0098	30S ribosomal protein S5
IPNEBOMO_00026	CDS	354	rplR		COG0256	50S ribosomal protein L18
IPNEBOMO_00027	CDS	534	rplF		COG0097	50S ribosomal protein L6
IPNEBOMO_00028	CDS	393	rpsH		COG0096	30S ribosomal protein S8
IPNEBOMO_00029	CDS	306	rpsN		COG0199	30S ribosomal protein S14
IPNEBOMO_00030	CDS	540	rplE		COG0094	50S ribosomal protein L5
IPNEBOMO_00031	CDS	315	rplX		COG0198	50S ribosomal protein L24
IPNEBOMO_00032	CDS	372	rplN		COG0093	50S ribosomal protein L14
IPNEBOMO_00033	CDS	255	rpsQ		COG0186	30S ribosomal protein S17
IPNEBOMO_00034	CDS	192	rpmC		COG0255	50S ribosomal protein L29
IPNEBOMO_00035	CDS	411	rplP		COG0197	50S ribosomal protein L16
IPNEBOMO_00036	CDS	702	rpsC		COG0092	30S ribosomal protein S3
IPNEBOMO_00037	CDS	333	rplV		COG0091	50S ribosomal protein L22
IPNEBOMO_00038	CDS	279	rpsS		COG0185	30S ribosomal protein S19
IPNEBOMO_00039	CDS	822	rplB		COG0090	50S ribosomal protein L2
IPNEBOMO_00040	CDS	303	rplW		COG0089	50S ribosomal protein L23
IPNEBOMO_00041	CDS	606	rplD		COG0088	50S ribosomal protein L4
IPNEBOMO_00042	CDS	630	rplC		COG0087	50S ribosomal protein L3
IPNEBOMO_00043	CDS	312	rpsJ		COG0051	30S ribosomal protein S10
IPNEBOMO_00044	CDS	468				hypothetical protein
IPNEBOMO_00045	CDS	477	bfr	1.16.3.1	COG2193	Bacterioferritin
IPNEBOMO_00046	CDS	195	bfd		COG2906	Bacterioferritin-associated ferredoxin
IPNEBOMO_00047	CDS	1185	tuf1			Elongation factor Tu 1
IPNEBOMO_00048	CDS	2115	fusA		COG0480	Elongation factor G
IPNEBOMO_00049	CDS	471	rpsG		COG0049	30S ribosomal protein S7
IPNEBOMO_00050	CDS	375	rpsL		COG0048	30S ribosomal protein S12
IPNEBOMO_00051	CDS	288	tusB		COG2168	Protein TusB
IPNEBOMO_00052	CDS	360	tusC		COG2923	Protein TusC
IPNEBOMO_00053	CDS	387	tusD	2.8.1.-	COG1553	Sulfurtransferase TusD
IPNEBOMO_00054	CDS	723	dauR		COG2964	Transcriptional regulator DauR
IPNEBOMO_00055	CDS	813	fkpA	5.2.1.8	COG0545	FKBP-type peptidyl-prolyl cis-trans isomerase FkpA
IPNEBOMO_00056	CDS	219	slyX		COG2900	Protein SlyX 
