locus_tag	ftype	length_bp	gene	EC_number	COG	product
OLKCMBIJ_00001	CDS	327	mobB		COG1763	Molybdopterin-guanine dinucleotide biosynthesis adapter protein
OLKCMBIJ_00002	CDS	585	mobA	2.7.7.77	COG0746	Molybdenum cofactor guanylyltransferase
OLKCMBIJ_00003	CDS	270	yihD		COG3084	Protein YihD
OLKCMBIJ_00004	CDS	987	srkA	2.7.11.1	COG2334	Stress response kinase A
OLKCMBIJ_00005	CDS	627	dsbA		COG0526	Thiol:disulfide interchange protein DsbA
OLKCMBIJ_00006	CDS	1431	ydgA_1		COG5339	Protein YdgA
OLKCMBIJ_00007	CDS	933	yihG	2.3.-.-	COG0204	putative acyltransferase YihG
OLKCMBIJ_00008	CDS	186				hypothetical protein
OLKCMBIJ_00009	CDS	2787	polA	2.7.7.7	COG0258	DNA polymerase I
OLKCMBIJ_00010	CDS	633	engB		COG0218	putative GTP-binding protein EngB
OLKCMBIJ_00011	CDS	510	yihI		COG3078	Der GTPase-activating protein YihI
OLKCMBIJ_00012	CDS	1374	hemN	1.3.98.3	COG0635	Oxygen-independent coproporphyrinogen III oxidase
OLKCMBIJ_00013	CDS	111	yshB			putative protein YshB
OLKCMBIJ_00014	CDS	1410	glnG		COG2204	DNA-binding transcriptional regulator NtrC
OLKCMBIJ_00015	CDS	1050	glnL	2.7.13.3	COG3852	Sensory histidine kinase/phosphatase NtrB
OLKCMBIJ_00016	CDS	180				hypothetical protein
OLKCMBIJ_00017	CDS	1410	glnA	6.3.1.2	COG0174	Glutamine synthetase
OLKCMBIJ_00018	CDS	1824	typA		COG1217	GTP-binding protein TypA/BipA
OLKCMBIJ_00019	CDS	711	phnR		COG2188	Putative transcriptional regulator of 2-aminoethylphosphonate degradation operons
OLKCMBIJ_00020	CDS	981				hypothetical protein
OLKCMBIJ_00021	CDS	1266	yihN			Inner membrane protein YihN
OLKCMBIJ_00022	CDS	693	ompL			Porin OmpL
OLKCMBIJ_00023	CDS	1404	yihP_1		COG2211	Putative 2,3-dihydroxypropane-1-sulfonate exporter
OLKCMBIJ_00024	CDS	1386	yihP_2		COG2211	Putative 2,3-dihydroxypropane-1-sulfonate exporter
OLKCMBIJ_00025	CDS	2037	yihQ	3.2.1.199	COG1501	Sulfoquinovosidase
OLKCMBIJ_00026	CDS	927	yihR		COG2017	putative protein YihR
OLKCMBIJ_00027	CDS	1242	yihS	5.3.1.31	COG2942	Sulfoquinovose isomerase
OLKCMBIJ_00028	CDS	879	yihT	4.1.2.57	COG3684	Sulfofructosephosphate aldolase
OLKCMBIJ_00029	CDS	897	yihU	1.1.1.373	COG2084	3-sulfolactaldehyde reductase
OLKCMBIJ_00030	CDS	897	yihV	2.7.1.184		Sulfofructose kinase
OLKCMBIJ_00031	CDS	786	csqR		COG1349	HTH-type transcriptional repressor CsqR
OLKCMBIJ_00032	CDS	600	yihX	3.1.3.10	COG1011	Alpha-D-glucose 1-phosphate phosphatase YihX
OLKCMBIJ_00033	CDS	873				hypothetical protein
OLKCMBIJ_00034	CDS	438	dtd	3.1.1.96	COG1490	D-aminoacyl-tRNA deacylase
OLKCMBIJ_00035	CDS	942				hypothetical protein
OLKCMBIJ_00036	CDS	108				hypothetical protein
OLKCMBIJ_00037	CDS	219				hypothetical protein
OLKCMBIJ_00038	CDS	243				hypothetical protein
OLKCMBIJ_00039	CDS	183				hypothetical protein
