locus_tag	ftype	length_bp	gene	EC_number	COG	product
OGPCIBBI_00001	CDS	2463	thrA		COG0460	Bifunctional aspartokinase/homoserine dehydrogenase 1
OGPCIBBI_00002	CDS	933	thrB	2.7.1.39	COG0083	Homoserine kinase
OGPCIBBI_00003	CDS	1287	thrC	4.2.3.1	COG0498	Threonine synthase
OGPCIBBI_00004	CDS	297				hypothetical protein
OGPCIBBI_00005	CDS	777	yaaA		COG3022	Peroxide stress resistance protein YaaA
OGPCIBBI_00006	CDS	1431	alsT		COG1115	Amino-acid carrier protein AlsT
OGPCIBBI_00007	CDS	954	talB	2.2.1.2	COG0176	Transaldolase B
OGPCIBBI_00008	CDS	588	mog	2.7.7.75	COG0521	Molybdopterin adenylyltransferase
OGPCIBBI_00009	CDS	567	satP		COG1584	Succinate-acetate/proton symporter SatP
OGPCIBBI_00010	CDS	714				hypothetical protein
OGPCIBBI_00011	CDS	405				hypothetical protein
OGPCIBBI_00012	CDS	1917	dnaK_1		COG0443	Chaperone protein DnaK
OGPCIBBI_00013	CDS	1131	dnaJ		COG0484	Chaperone protein DnaJ
OGPCIBBI_00014	CDS	210				hypothetical protein
OGPCIBBI_00015	CDS	1167	nhaA		COG3004	Na(+)/H(+) antiporter NhaA
OGPCIBBI_00016	CDS	900	nhaR		COG0583	Transcriptional activator protein NhaR
OGPCIBBI_00017	CDS	960				hypothetical protein
OGPCIBBI_00018	CDS	2451	yehB_1		COG3188	Outer membrane usher protein YehB
OGPCIBBI_00019	CDS	684	yehC_1		COG3121	putative fimbrial chaperone YehC
OGPCIBBI_00020	CDS	534	yehD_1			putative fimbrial-like protein YehD
OGPCIBBI_00021	CDS	1422				hypothetical protein
OGPCIBBI_00022	CDS	264	rpsT		COG0268	30S ribosomal protein S20
OGPCIBBI_00023	CDS	942	ribF		COG0196	Bifunctional riboflavin kinase/FMN adenylyltransferase
OGPCIBBI_00024	CDS	2817	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
OGPCIBBI_00025	CDS	495	lspA	3.4.23.36	COG0597	Lipoprotein signal peptidase
OGPCIBBI_00026	CDS	450	fkpB	5.2.1.8	COG1047	FKBP-type 16 kDa peptidyl-prolyl cis-trans isomerase
OGPCIBBI_00027	CDS	951	ispH	1.17.7.4	COG0761	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
OGPCIBBI_00028	CDS	915	rihC	3.2.-.-	COG1957	Non-specific ribonucleoside hydrolase RihC
OGPCIBBI_00029	CDS	822	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
OGPCIBBI_00030	CDS	1149	carA	6.3.5.5	COG0505	Carbamoyl-phosphate synthase small chain
OGPCIBBI_00031	CDS	3222	carB	6.3.5.5	COG0458	Carbamoyl-phosphate synthase large chain
OGPCIBBI_00032	CDS	396				hypothetical protein
OGPCIBBI_00033	CDS	591	yrdA_1		COG0663	Protein YrdA
OGPCIBBI_00034	CDS	786	caiD	4.2.1.149	COG1024	Carnitinyl-CoA dehydratase
OGPCIBBI_00035	CDS	1554	caiC	6.2.1.48	COG0318	Crotonobetaine/carnitine--CoA ligase
OGPCIBBI_00036	CDS	1218	caiB	2.8.3.21	COG1804	L-carnitine CoA-transferase
OGPCIBBI_00037	CDS	1143	caiA_1	1.3.8.13	COG1960	Crotonobetainyl-CoA reductase
