locus_tag	ftype	length_bp	gene	EC_number	COG	product
EGMFGGDM_00001	CDS	738	dnaC		COG1484	DNA replication protein DnaC
EGMFGGDM_00002	CDS	495				hypothetical protein
EGMFGGDM_00003	CDS	2292	mdoB	2.7.8.20		Phosphoglycerol transferase I
EGMFGGDM_00004	CDS	1023	lgoD	1.1.1.414	COG1063	L-galactonate-5-dehydrogenase
EGMFGGDM_00005	CDS	906	lgoR		COG1802	putative HTH-type transcriptional regulator LgoR
EGMFGGDM_00006	CDS	1653	nhaK_1		COG0025	Sodium, potassium, lithium and rubidium/H(+) antiporter
EGMFGGDM_00007	CDS	972	siaP		COG1638	Sialic acid-binding periplasmic protein SiaP
EGMFGGDM_00008	CDS	474				hypothetical protein
EGMFGGDM_00009	CDS	1272	dctM_1		COG1593	C4-dicarboxylate TRAP transporter large permease protein DctM
EGMFGGDM_00010	CDS	1656	tsr		COG0840	Methyl-accepting chemotaxis protein I
EGMFGGDM_00011	CDS	2151	btsT		COG1966	Pyruvate/proton symporter BtsT
EGMFGGDM_00012	CDS	204				hypothetical protein
EGMFGGDM_00013	CDS	957	yjiA	3.6.-.-	COG0523	P-loop guanosine triphosphatase YjiA
EGMFGGDM_00014	CDS	915	mrr		COG1715	Mrr restriction system protein
EGMFGGDM_00015	CDS	3513				hypothetical protein
EGMFGGDM_00016	CDS	1590	hsdM	2.1.1.72	COG0286	Type I restriction enzyme EcoKI M protein
EGMFGGDM_00017	CDS	1368	hsdS_1		COG0732	Type-1 restriction enzyme EcoKI specificity protein
EGMFGGDM_00018	CDS	342	symE_1	3.1.-.-		Toxic protein SymE
EGMFGGDM_00019	CDS	2157				hypothetical protein
EGMFGGDM_00020	CDS	921				ISNCY family transposase ISRor2
EGMFGGDM_00021	CDS	1281				hypothetical protein
EGMFGGDM_00022	CDS	1152	fldC	4.2.1.-		(R)-phenyllactyl-CoA dehydratase beta subunit
EGMFGGDM_00023	CDS	768	fldI	3.6.1.-		(R)-phenyllactate dehydratase activator
EGMFGGDM_00024	CDS	258				hypothetical protein
EGMFGGDM_00025	CDS	972	yjiK		COG3204	putative protein YjiK
EGMFGGDM_00026	CDS	1179				hypothetical protein
EGMFGGDM_00027	CDS	555	kptA	2.7.1.-	COG1859	putative RNA 2'-phosphotransferase
EGMFGGDM_00028	CDS	684				hypothetical protein
EGMFGGDM_00029	CDS	462	yjiG		COG0700	Inner membrane protein YjiG
EGMFGGDM_00030	CDS	1173	iadA	3.4.19.-		Isoaspartyl dipeptidase
EGMFGGDM_00031	CDS	912	yjiE			HTH-type transcriptional regulator YjiE
EGMFGGDM_00032	CDS	393	iraD			Anti-adapter protein IraD
EGMFGGDM_00033	CDS	102	ytiC			Protein YtiC
EGMFGGDM_00034	CDS	831				hypothetical protein
EGMFGGDM_00035	CDS	774	lldR_1		COG2186	Putative L-lactate dehydrogenase operon regulatory protein
EGMFGGDM_00036	CDS	1461	por_1	1.1.1.-	COG0246	Polyol:NADP oxidoreductase
EGMFGGDM_00037	CDS	1185	uxuA	4.2.1.8	COG1312	Mannonate dehydratase
EGMFGGDM_00038	CDS	1344	gntP		COG2610	High-affinity gluconate transporter
EGMFGGDM_00039	CDS	903	fimH_1			Type 1 fimbrin D-mannose specific adhesin
EGMFGGDM_00040	CDS	504	fimG_1			Protein FimG
