locus_tag	ftype	length_bp	gene	EC_number	COG	product
MDILHPCE_00001	CDS	2463	thrA		COG0460	Bifunctional aspartokinase/homoserine dehydrogenase 1
MDILHPCE_00002	CDS	933	thrB	2.7.1.39	COG0083	Homoserine kinase
MDILHPCE_00003	CDS	1287	thrC	4.2.3.1	COG0498	Threonine synthase
MDILHPCE_00004	CDS	297				hypothetical protein
MDILHPCE_00005	CDS	777	yaaA		COG3022	Peroxide stress resistance protein YaaA
MDILHPCE_00006	CDS	1431	alsT		COG1115	Amino-acid carrier protein AlsT
MDILHPCE_00007	CDS	954	talB	2.2.1.2	COG0176	Transaldolase B
MDILHPCE_00008	CDS	588	mog	2.7.7.75	COG0521	Molybdopterin adenylyltransferase
MDILHPCE_00009	CDS	567	satP		COG1584	Succinate-acetate/proton symporter SatP
MDILHPCE_00010	CDS	714				hypothetical protein
MDILHPCE_00011	CDS	405				hypothetical protein
MDILHPCE_00012	CDS	1917	dnaK_1		COG0443	Chaperone protein DnaK
MDILHPCE_00013	CDS	1131	dnaJ		COG0484	Chaperone protein DnaJ
MDILHPCE_00014	CDS	1113			COG3385	IS4 family transposase IS421
MDILHPCE_00015	CDS	141				hypothetical protein
MDILHPCE_00016	CDS	153	hokC_1			Toxic protein HokC
MDILHPCE_00017	CDS	1167	nhaA		COG3004	Na(+)/H(+) antiporter NhaA
MDILHPCE_00018	CDS	900	nhaR		COG0583	Transcriptional activator protein NhaR
MDILHPCE_00019	CDS	378			COG1662	IS1 family transposase IS1A
MDILHPCE_00020	CDS	276			COG1662	IS1 family transposase IS1A
MDILHPCE_00021	CDS	264	rpsT		COG0268	30S ribosomal protein S20
MDILHPCE_00022	CDS	942	ribF		COG0196	Bifunctional riboflavin kinase/FMN adenylyltransferase
MDILHPCE_00023	CDS	2817	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
MDILHPCE_00024	CDS	495	lspA	3.4.23.36	COG0597	Lipoprotein signal peptidase
MDILHPCE_00025	CDS	450	fkpB	5.2.1.8	COG1047	FKBP-type 16 kDa peptidyl-prolyl cis-trans isomerase
MDILHPCE_00026	CDS	951	ispH	1.17.7.4	COG0761	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
MDILHPCE_00027	CDS	915	rihC	3.2.-.-	COG1957	Non-specific ribonucleoside hydrolase RihC
MDILHPCE_00028	CDS	822	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
MDILHPCE_00029	CDS	1149	carA	6.3.5.5	COG0505	Carbamoyl-phosphate synthase small chain
MDILHPCE_00030	CDS	3222	carB	6.3.5.5	COG0458	Carbamoyl-phosphate synthase large chain
MDILHPCE_00031	CDS	396				hypothetical protein
MDILHPCE_00032	CDS	591	yrdA_1		COG0663	Protein YrdA
MDILHPCE_00033	CDS	786	caiD	4.2.1.149	COG1024	Carnitinyl-CoA dehydratase
MDILHPCE_00034	CDS	1554	caiC	6.2.1.48	COG0318	Crotonobetaine/carnitine--CoA ligase
MDILHPCE_00035	CDS	1218	caiB	2.8.3.21	COG1804	L-carnitine CoA-transferase
MDILHPCE_00036	CDS	1143	caiA_1	1.3.8.13	COG1960	Crotonobetainyl-CoA reductase
MDILHPCE_00037	CDS	1515	caiT_1		COG1292	L-carnitine/gamma-butyrobetaine antiporter
MDILHPCE_00038	CDS	771	fixA_1		COG2086	Protein FixA
MDILHPCE_00039	CDS	942	fixB_1		COG2025	Protein FixB
MDILHPCE_00040	CDS	1287	thi4	2.4.2.59		Thiamine thiazole synthase
MDILHPCE_00041	CDS	288	fixX_1		COG2440	Ferredoxin-like protein FixX
MDILHPCE_00042	CDS	1332	ygcS_1			Inner membrane metabolite transport protein YgcS
MDILHPCE_00043	CDS	531	kefF	1.6.5.2	COG2249	Glutathione-regulated potassium-efflux system ancillary protein KefF
MDILHPCE_00044	CDS	1863	kefC_1		COG0475	Glutathione-regulated potassium-efflux system protein KefC
MDILHPCE_00045	CDS	591	folA	1.5.1.3	COG0262	Dihydrofolate reductase
MDILHPCE_00046	CDS	843	apaH	3.6.1.41	COG0639	Bis(5'-nucleosyl)-tetraphosphatase [symmetrical]
MDILHPCE_00047	CDS	378	apaG		COG2967	Protein ApaG
MDILHPCE_00048	CDS	822	rsmA	2.1.1.182	COG0030	Ribosomal RNA small subunit methyltransferase A
MDILHPCE_00049	CDS	990	pdxA	1.1.1.262	COG1995	4-hydroxythreonine-4-phosphate dehydrogenase
MDILHPCE_00050	CDS	1287	surA	5.2.1.8	COG0760	Chaperone SurA
MDILHPCE_00051	CDS	2355	lptD		COG1452	LPS-assembly protein LptD
MDILHPCE_00052	CDS	816	djlA		COG1076	Co-chaperone protein DjlA
MDILHPCE_00053	CDS	651				hypothetical protein
MDILHPCE_00054	CDS	159				hypothetical protein
MDILHPCE_00055	CDS	660	rluA	5.4.99.28	COG0564	Dual-specificity RNA pseudouridine synthase RluA
MDILHPCE_00056	CDS	1992	rapA	3.6.4.-	COG0553	RNA polymerase-associated protein RapA
MDILHPCE_00057	CDS	687	cra		COG1609	Catabolite repressor/activator
MDILHPCE_00058	CDS	459	mraZ		COG2001	Transcriptional regulator MraZ
MDILHPCE_00059	CDS	942	rsmH	2.1.1.199	COG0275	Ribosomal RNA small subunit methyltransferase H
MDILHPCE_00060	CDS	366	ftsL		COG3116	Cell division protein FtsL
MDILHPCE_00061	CDS	1767	ftsI	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase FtsI
MDILHPCE_00062	CDS	1488	murE	6.3.2.13	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
MDILHPCE_00063	CDS	1359	murF	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
MDILHPCE_00064	CDS	1083	mraY	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
MDILHPCE_00065	CDS	1317	murD	6.3.2.9	COG0771	UDP-N-acetylmuramoylalanine--D-glutamate ligase
MDILHPCE_00066	CDS	1245	ftsW	2.4.1.129	COG0772	putative peptidoglycan glycosyltransferase FtsW
MDILHPCE_00067	CDS	1068	murG	2.4.1.227	COG0707	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
MDILHPCE_00068	CDS	1476	murC	6.3.2.8	COG0773	UDP-N-acetylmuramate--L-alanine ligase
MDILHPCE_00069	CDS	921	ddlB	6.3.2.4	COG1181	D-alanine--D-alanine ligase B
MDILHPCE_00070	CDS	831	ftsQ		COG1589	Cell division protein FtsQ
MDILHPCE_00071	CDS	1263	ftsA_1		COG0849	Cell division protein FtsA
MDILHPCE_00072	CDS	1152	ftsZ		COG0206	Cell division protein FtsZ
MDILHPCE_00073	CDS	918	lpxC	3.5.1.108	COG0774	UDP-3-O-acyl-N-acetylglucosamine deacetylase
MDILHPCE_00074	CDS	588	secM			Secretion monitor
MDILHPCE_00075	CDS	2706	secA		COG0653	Protein translocase subunit SecA
MDILHPCE_00076	CDS	390	mutT	3.6.1.55	COG0494	8-oxo-dGTP diphosphatase
MDILHPCE_00077	CDS	198	yacG		COG3024	DNA gyrase inhibitor YacG
MDILHPCE_00078	CDS	744	zapD		COG4582	Cell division protein ZapD
MDILHPCE_00079	CDS	621	coaE	2.7.1.24	COG0237	Dephospho-CoA kinase
MDILHPCE_00080	CDS	1044	guaC	1.7.1.7	COG0516	GMP reductase
MDILHPCE_00081	CDS	1203	epsF		COG1459	Type II secretion system protein F
MDILHPCE_00082	CDS	1386	epsE		COG2804	Type II secretion system protein E
MDILHPCE_00083	CDS	441				hypothetical protein
MDILHPCE_00084	CDS	894	nadC	2.4.2.19	COG0157	Nicotinate-nucleotide pyrophosphorylase [carboxylating]
MDILHPCE_00085	CDS	552	ampD	3.5.1.28	COG3023	1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD
MDILHPCE_00086	CDS	855	ampE		COG3725	Protein AmpE
MDILHPCE_00087	CDS	1371	aroP		COG1113	Aromatic amino acid transport protein AroP
MDILHPCE_00088	CDS	765	pdhR		COG2186	Pyruvate dehydrogenase complex repressor
MDILHPCE_00089	CDS	2664	aceE	1.2.4.1	COG2609	Pyruvate dehydrogenase E1 component
MDILHPCE_00090	CDS	1893	aceF	2.3.1.12	COG0508	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
MDILHPCE_00091	CDS	1425	lpdA	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase
MDILHPCE_00092	CDS	1854				hypothetical protein
MDILHPCE_00093	CDS	2598	acnB	4.2.1.3	COG1049	Aconitate hydratase B
MDILHPCE_00094	CDS	363				hypothetical protein
MDILHPCE_00095	CDS	795	speD	4.1.1.50	COG1586	S-adenosylmethionine decarboxylase proenzyme
MDILHPCE_00096	CDS	867	speE	2.5.1.-	COG0421	Polyamine aminopropyltransferase
MDILHPCE_00097	CDS	309				hypothetical protein
MDILHPCE_00098	CDS	1551	cueO		COG2132	Blue copper oxidase CueO
MDILHPCE_00099	CDS	2391	gcd	1.1.5.2	COG4993	Quinoprotein glucose dehydrogenase
MDILHPCE_00100	CDS	537	hpt	2.4.2.8	COG0634	Hypoxanthine phosphoribosyltransferase
MDILHPCE_00101	CDS	663	can	4.2.1.1	COG0288	Carbonic anhydrase 2
