locus_tag	ftype	length_bp	gene	EC_number	COG	product
AIDJNMED_00001	CDS	930	fabD	2.3.1.39	COG0331	Malonyl CoA-acyl carrier protein transacylase
AIDJNMED_00002	CDS	735	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
AIDJNMED_00003	CDS	237	acpP_1			Acyl carrier protein
AIDJNMED_00004	CDS	1242	fabF	2.3.1.179	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 2
AIDJNMED_00005	CDS	810	pabC	4.1.3.38	COG0115	Aminodeoxychorismate lyase
AIDJNMED_00006	CDS	1023	mltG	4.2.2.-	COG1559	Endolytic murein transglycosylase
AIDJNMED_00007	CDS	642	tmk_1	2.7.4.9	COG0125	Thymidylate kinase
AIDJNMED_00008	CDS	1005	holB	2.7.7.7	COG0470	DNA polymerase III subunit delta'
AIDJNMED_00009	CDS	798	ycfH	3.1.-.-	COG0084	putative metal-dependent hydrolase YcfH
AIDJNMED_00010	CDS	1434	ptsG		COG1263	PTS system glucose-specific EIICB component
AIDJNMED_00011	CDS	2190	fhuE		COG4773	FhuE receptor
AIDJNMED_00012	CDS	360	hinT	3.9.1.-	COG0537	Purine nucleoside phosphoramidase
AIDJNMED_00013	CDS	378				hypothetical protein
AIDJNMED_00014	CDS	642	lpoB		COG3417	Penicillin-binding protein activator LpoB
AIDJNMED_00015	CDS	825	thiK	2.7.1.89	COG0510	Thiamine kinase
AIDJNMED_00016	CDS	1026	nagZ	3.2.1.52	COG1472	Beta-hexosaminidase
AIDJNMED_00017	CDS	543				hypothetical protein
AIDJNMED_00018	CDS	1305	ndh	1.6.99.3	COG1252	NADH dehydrogenase
AIDJNMED_00019	CDS	540				hypothetical protein
AIDJNMED_00020	CDS	696	comR			HTH-type transcriptional repressor ComR
AIDJNMED_00021	CDS	258	bhsA_1			Multiple stress resistance protein BhsA
AIDJNMED_00022	CDS	960	ycfS	2.-.-.-	COG1376	putative L,D-transpeptidase YcfS
AIDJNMED_00023	CDS	3495	mfd	3.6.4.-	COG1197	Transcription-repair-coupling factor
AIDJNMED_00024	CDS	1074	ycfT		COG4763	Inner membrane protein YcfT
AIDJNMED_00025	CDS	1200	lolC		COG4591	Lipoprotein-releasing system transmembrane protein LolC
AIDJNMED_00026	CDS	702	lolD_1	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
AIDJNMED_00027	CDS	1239	lolE		COG4591	Lipoprotein-releasing system transmembrane protein LolE
AIDJNMED_00028	CDS	912	nagK_1	2.7.1.59	COG1940	N-acetyl-D-glucosamine kinase
