locus_tag	ftype	length_bp	gene	EC_number	COG	product
FCNMIJMK_00001	CDS	2463	thrA		COG0460	Bifunctional aspartokinase/homoserine dehydrogenase 1
FCNMIJMK_00002	CDS	933	thrB	2.7.1.39	COG0083	Homoserine kinase
FCNMIJMK_00003	CDS	1287	thrC	4.2.3.1	COG0498	Threonine synthase
FCNMIJMK_00004	CDS	297				hypothetical protein
FCNMIJMK_00005	CDS	777	yaaA		COG3022	Peroxide stress resistance protein YaaA
FCNMIJMK_00006	CDS	1431	alsT		COG1115	Amino-acid carrier protein AlsT
FCNMIJMK_00007	CDS	954	tal_1	2.2.1.2		Transaldolase
FCNMIJMK_00008	CDS	588	mog	2.7.7.75	COG0521	Molybdopterin adenylyltransferase
FCNMIJMK_00009	CDS	567	satP		COG1584	Succinate-acetate/proton symporter SatP
FCNMIJMK_00010	CDS	714				hypothetical protein
FCNMIJMK_00011	CDS	405				hypothetical protein
FCNMIJMK_00012	CDS	1917	dnaK_1		COG0443	Chaperone protein DnaK
FCNMIJMK_00013	CDS	1131	dnaJ		COG0484	Chaperone protein DnaJ
FCNMIJMK_00014	CDS	1113			COG3385	IS4 family transposase IS421
FCNMIJMK_00015	CDS	141				hypothetical protein
FCNMIJMK_00016	CDS	153	hokC			Toxic protein HokC
FCNMIJMK_00017	CDS	1167	nhaA		COG3004	Na(+)/H(+) antiporter NhaA
FCNMIJMK_00018	CDS	900	nhaR		COG0583	Transcriptional activator protein NhaR
FCNMIJMK_00019	CDS	960				hypothetical protein
FCNMIJMK_00020	CDS	1146	yehB		COG3188	Outer membrane usher protein YehB
FCNMIJMK_00021	CDS	657				hypothetical protein
FCNMIJMK_00022	CDS	276			COG1662	IS1 family transposase IS1A
FCNMIJMK_00023	CDS	378			COG1662	IS1 family transposase IS1R
FCNMIJMK_00024	CDS	351				hypothetical protein
FCNMIJMK_00025	CDS	264	rpsT		COG0268	30S ribosomal protein S20
FCNMIJMK_00026	CDS	942	ribF		COG0196	Bifunctional riboflavin kinase/FMN adenylyltransferase
FCNMIJMK_00027	CDS	2817	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
FCNMIJMK_00028	CDS	495	lspA	3.4.23.36	COG0597	Lipoprotein signal peptidase
FCNMIJMK_00029	CDS	450	fkpB	5.2.1.8	COG1047	FKBP-type 16 kDa peptidyl-prolyl cis-trans isomerase
FCNMIJMK_00030	CDS	951	ispH	1.17.7.4	COG0761	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
FCNMIJMK_00031	CDS	915	rihC	3.2.-.-	COG1957	Non-specific ribonucleoside hydrolase RihC
FCNMIJMK_00032	CDS	822	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
FCNMIJMK_00033	CDS	1149	carA	6.3.5.5	COG0505	Carbamoyl-phosphate synthase small chain
FCNMIJMK_00034	CDS	3222	carB	6.3.5.5	COG0458	Carbamoyl-phosphate synthase large chain
FCNMIJMK_00035	CDS	396				hypothetical protein
FCNMIJMK_00036	CDS	591	yrdA_1		COG0663	Protein YrdA
FCNMIJMK_00037	CDS	786	caiD	4.2.1.149	COG1024	Carnitinyl-CoA dehydratase
FCNMIJMK_00038	CDS	1554	caiC	6.2.1.48	COG0318	Crotonobetaine/carnitine--CoA ligase
FCNMIJMK_00039	CDS	738	caiB_1	2.8.3.21	COG1804	L-carnitine CoA-transferase
FCNMIJMK_00040	CDS	420	caiB_2	2.8.3.21	COG1804	L-carnitine CoA-transferase
FCNMIJMK_00041	CDS	1143	caiA_1	1.3.8.13	COG1960	Crotonobetainyl-CoA reductase
FCNMIJMK_00042	CDS	1515	caiT_1		COG1292	L-carnitine/gamma-butyrobetaine antiporter
FCNMIJMK_00043	CDS	771	fixA_1		COG2086	Protein FixA
FCNMIJMK_00044	CDS	942	fixB_1		COG2025	Protein FixB
FCNMIJMK_00045	CDS	1287	thi4	2.4.2.59		Thiamine thiazole synthase
FCNMIJMK_00046	CDS	288	fixX_1		COG2440	Ferredoxin-like protein FixX
FCNMIJMK_00047	CDS	1332	ygcS_1			Inner membrane metabolite transport protein YgcS
FCNMIJMK_00048	CDS	531	kefF	1.6.5.2	COG2249	Glutathione-regulated potassium-efflux system ancillary protein KefF
FCNMIJMK_00049	CDS	1863	kefC_1		COG0475	Glutathione-regulated potassium-efflux system protein KefC
FCNMIJMK_00050	CDS	591	folA	1.5.1.3	COG0262	Dihydrofolate reductase
FCNMIJMK_00051	CDS	843	apaH	3.6.1.41	COG0639	Bis(5'-nucleosyl)-tetraphosphatase [symmetrical]
FCNMIJMK_00052	CDS	378	apaG		COG2967	Protein ApaG
FCNMIJMK_00053	CDS	822	rsmA	2.1.1.182	COG0030	Ribosomal RNA small subunit methyltransferase A
FCNMIJMK_00054	CDS	990	pdxA	1.1.1.262	COG1995	4-hydroxythreonine-4-phosphate dehydrogenase
FCNMIJMK_00055	CDS	1287	surA	5.2.1.8	COG0760	Chaperone SurA
