locus_tag	ftype	length_bp	gene	EC_number	COG	product
BGNPKDDB_00001	CDS	1335	dnaA		COG0593	Chromosomal replication initiator protein DnaA
BGNPKDDB_00002	CDS	1101	dnaN		COG0592	Beta sliding clamp
BGNPKDDB_00003	CDS	1074	recF		COG1195	DNA replication and repair protein RecF
BGNPKDDB_00004	CDS	2415	gyrB	5.6.2.2	COG0187	DNA gyrase subunit B
BGNPKDDB_00005	CDS	399				hypothetical protein
BGNPKDDB_00006	CDS	813	yidA_1	3.1.3.23	COG0561	Sugar phosphatase YidA
BGNPKDDB_00007	CDS	657				hypothetical protein
BGNPKDDB_00008	CDS	1065	cbrA		COG0644	Protein CbrA
BGNPKDDB_00009	CDS	1215				hypothetical protein
BGNPKDDB_00010	CDS	261				hypothetical protein
BGNPKDDB_00011	CDS	414	ibpA		COG0071	Small heat shock protein IbpA
BGNPKDDB_00012	CDS	429	ibpB		COG0071	Small heat shock protein IbpB
BGNPKDDB_00013	CDS	1662	aspT_1			Aspartate/alanine antiporter
BGNPKDDB_00014	CDS	717	mngR_1		COG2188	Mannosyl-D-glycerate transport/metabolism system repressor MngR
BGNPKDDB_00015	CDS	1617				hypothetical protein
BGNPKDDB_00016	CDS	1323	aglB	3.2.1.122	COG1486	6-phospho-alpha-glucosidase
BGNPKDDB_00017	CDS	894	rhaR_1			HTH-type transcriptional activator RhaR
BGNPKDDB_00018	CDS	1716	yidK		COG4146	putative symporter YidK
BGNPKDDB_00019	CDS	1494		3.1.6.-		Ulvan-active sulfatase
BGNPKDDB_00020	CDS	450	yidI			Inner membrane protein YidI
BGNPKDDB_00021	CDS	348	yidH		COG2149	Inner membrane protein YidH
BGNPKDDB_00022	CDS	363	yidG			Inner membrane protein YidG
BGNPKDDB_00023	CDS	498				hypothetical protein
BGNPKDDB_00024	CDS	1185	emrD			Multidrug resistance protein D
BGNPKDDB_00025	CDS	90	tisB			Small toxic protein TisB
BGNPKDDB_00026	CDS	99				hypothetical protein
BGNPKDDB_00027	CDS	1689	ilvB	2.2.1.6	COG0028	Acetolactate synthase isozyme 1 large subunit
BGNPKDDB_00028	CDS	186	ilvN	2.2.1.6	COG0440	Acetolactate synthase isozyme 1 small subunit
BGNPKDDB_00029	CDS	1209			COG3385	IS4 family transposase ISVsa5
BGNPKDDB_00030	CDS	174				hypothetical protein
BGNPKDDB_00031	CDS	1296				hypothetical protein
BGNPKDDB_00032	CDS	291				hypothetical protein
BGNPKDDB_00033	CDS	1104				hypothetical protein
BGNPKDDB_00034	CDS	591	uhpA_1		COG2197	Transcriptional regulatory protein UhpA
BGNPKDDB_00035	CDS	1503	uhpB_1	2.7.13.3		Signal transduction histidine-protein kinase/phosphatase UhpB
BGNPKDDB_00036	CDS	1320	uhpC_1		COG2271	Membrane sensor protein UhpC
BGNPKDDB_00037	CDS	1392	uhpT		COG2271	Hexose-6-phosphate:phosphate antiporter
BGNPKDDB_00038	CDS	1767	ade	3.5.4.2	COG1001	Adenine deaminase
BGNPKDDB_00039	CDS	1335	adeQ		COG2252	Adenine permease AdeQ
BGNPKDDB_00040	CDS	453				hypothetical protein
BGNPKDDB_00041	CDS	324				hypothetical protein
BGNPKDDB_00042	CDS	360				hypothetical protein
BGNPKDDB_00043	CDS	1233	nepI		COG2814	Purine ribonucleoside efflux pump NepI
BGNPKDDB_00044	CDS	5292				hypothetical protein
BGNPKDDB_00045	CDS	5511				hypothetical protein
BGNPKDDB_00046	CDS	366				hypothetical protein
BGNPKDDB_00047	CDS	906				IS3 family transposase IS2
BGNPKDDB_00048	CDS	1698	hilA_1		COG0457	Transcriptional regulator HilA
BGNPKDDB_00049	CDS	1350				hypothetical protein
BGNPKDDB_00050	CDS	1152				hypothetical protein
BGNPKDDB_00051	CDS	1782				hypothetical protein
BGNPKDDB_00052	CDS	183				hypothetical protein
BGNPKDDB_00053	CDS	498	sicA_1		COG0457	Chaperone protein SicA
BGNPKDDB_00054	CDS	294				hypothetical protein
BGNPKDDB_00055	CDS	819	nlpA		COG1464	Lipoprotein 28
BGNPKDDB_00056	CDS	924	yicL		COG0697	putative inner membrane transporter YicL
BGNPKDDB_00057	CDS	1185	setC			Sugar efflux transporter C
BGNPKDDB_00058	CDS	147				hypothetical protein
BGNPKDDB_00059	tRNA	95				tRNA-SeC(tca)
BGNPKDDB_00060	CDS	1383	yicJ_1		COG2211	Inner membrane symporter YicJ
BGNPKDDB_00061	CDS	2319	yicI	3.2.1.177	COG1501	Alpha-xylosidase
BGNPKDDB_00062	CDS	1710				hypothetical protein
