locus_tag	ftype	length_bp	gene	EC_number	COG	product
ELCDDENK_00001	CDS	135				hypothetical protein
ELCDDENK_00002	CDS	522				IS3 family transposase IS1397
ELCDDENK_00003	CDS	537	mobB_1		COG1763	Molybdopterin-guanine dinucleotide biosynthesis adapter protein
ELCDDENK_00004	CDS	585	mobA_1	2.7.7.77	COG0746	Molybdenum cofactor guanylyltransferase
ELCDDENK_00005	CDS	270	yihD_1		COG3084	Protein YihD
ELCDDENK_00006	CDS	987	srkA_1	2.7.11.1	COG2334	Stress response kinase A
ELCDDENK_00007	CDS	627	dsbA_1		COG0526	Thiol:disulfide interchange protein DsbA
ELCDDENK_00008	CDS	1431	ydgA_1		COG5339	Protein YdgA
ELCDDENK_00009	CDS	933	yihG	2.3.-.-	COG0204	putative acyltransferase YihG
ELCDDENK_00010	CDS	243				hypothetical protein
ELCDDENK_00011	CDS	2787	polA	2.7.7.7	COG0258	DNA polymerase I
ELCDDENK_00012	CDS	633	engB		COG0218	putative GTP-binding protein EngB
ELCDDENK_00013	CDS	510	yihI		COG3078	Der GTPase-activating protein YihI
ELCDDENK_00014	CDS	1374	hemN	1.3.98.3	COG0635	Oxygen-independent coproporphyrinogen III oxidase
ELCDDENK_00015	CDS	111	yshB			putative protein YshB
ELCDDENK_00016	CDS	1410	glnG		COG2204	DNA-binding transcriptional regulator NtrC
ELCDDENK_00017	CDS	1050	glnL	2.7.13.3	COG3852	Sensory histidine kinase/phosphatase NtrB
ELCDDENK_00018	CDS	1410	glnA	6.3.1.2	COG0174	Glutamine synthetase
ELCDDENK_00019	CDS	1824	typA		COG1217	GTP-binding protein TypA/BipA
ELCDDENK_00020	CDS	711	phnR		COG2188	Putative transcriptional regulator of 2-aminoethylphosphonate degradation operons
ELCDDENK_00021	CDS	981				hypothetical protein
ELCDDENK_00022	CDS	1266	yihN			Inner membrane protein YihN
ELCDDENK_00023	CDS	759	ompL			Porin OmpL
ELCDDENK_00024	CDS	1404	yihP_1		COG2211	Putative 2,3-dihydroxypropane-1-sulfonate exporter
